IP地址,端口,回源端口
220.143.36.206,443,443
112.104.138.125,12550,12550
103.159.206.29,443,443
36.225.25.230,4443,4443
1.170.204.16,2087,2087
130.211.246.184,8001,8001
61.228.150.18,12491,12491
123.204.158.69,12491,12491
175.182.112.8,12153,12153
1.170.164.114,12163,12163
114.40.85.50,12495,12495
114.40.74.33,12191,12191
219.85.140.254,12553,12553
218.187.65.130,2087,2087
36.239.242.131,12247,12247
114.40.47.68,12408,12408
220.141.205.34,12408,12408
125.224.86.177,12408,12408
111.246.164.107,10443,10443
111.249.243.119,8080,8080
111.251.239.3,10443,10443
219.85.173.1,12139,12139
111.252.67.139,12287,12287
118.167.186.188,18100,18100
1.169.174.126,12428,12428
125.231.216.82,12135,12135
122.118.200.55,12435,12435
36.237.218.237,12533,12533
36.233.165.154,12161,12161
114.26.5.96,12424,12424
118.165.164.195,12155,12155
103.159.89.19,12558,12558
35.201.251.98,8880,8880
36.232.160.29,12148,12148
1.163.49.13,12410,12410
218.166.147.207,12581,12581
36.235.160.213,12337,12337
219.84.186.47,12470,12470
61.30.129.52,12316,12316
116.241.50.141,12262,12262
36.226.106.234,12365,12365
103.159.207.23,443,443
219.85.86.109,12352,12352
114.41.72.179,12177,12177
36.225.133.190,443,443
219.85.182.228,12239,12239
114.42.197.230,14104,14104
36.236.80.160,12284,12284
118.167.186.188,12263,12263
49.158.22.161,995,995
114.42.149.9,12314,12314
220.143.23.53,443,443
1.172.151.212,12314,12314
114.34.28.110,443,443
36.237.158.243,443,443
36.227.149.212,12430,12430
36.238.212.6,443,443
1.170.21.126,12140,12140
219.84.11.22,12140,12140
1.161.71.26,18066,18066
36.230.27.178,12397,12397
1.175.46.23,12447,12447
1.165.128.109,12589,12589
118.171.151.175,12431,12431
1.164.72.108,30037,30037
220.134.107.199,12106,12106
114.36.226.153,12313,12313
219.84.59.236,10065,10065
114.40.75.104,11007,11007
36.227.149.212,12325,12325
111.242.245.6,12112,12112
114.40.45.233,12403,12403
36.232.19.227,12403,12403
111.249.217.70,8080,8080
220.143.13.71,443,443
36.231.198.180,12413,12413
35.206.244.243,40000,40000
219.85.145.241,12000,12000
219.84.50.2,12221,12221
35.206.204.100,40000,40000
111.241.111.238,12318,12318
35.206.221.39,40000,40000
35.206.233.162,40000,40000
36.228.221.235,12567,12567
35.206.244.5,40000,40000
35.206.235.138,40000,40000
61.227.211.191,12518,12518
125.231.196.59,12518,12518
118.167.164.149,12110,12110
210.209.180.213,12110,12110
111.241.111.238,12110,12110
112.104.167.63,12110,12110
1.170.68.114,12182,12182
35.206.249.40,40000,40000
35.206.195.1,40000,40000
175.182.40.43,12230,12230
61.224.123.158,12108,12108
125.231.196.59,12214,12214
112.104.138.125,12111,12111
219.85.40.94,12111,12111
35.206.251.191,40000,40000
36.233.208.145,12131,12131
36.237.227.6,12131,12131
114.25.155.78,12131,12131
118.166.84.110,18003,18003
219.85.175.108,12291,12291
1.163.146.143,10000,10000
218.172.66.159,443,443
1.175.40.85,12502,12502
61.224.157.155,16104,16104
36.233.216.126,16104,16104
111.246.62.1,2082,2082
1.161.181.85,12202,12202
122.118.146.192,2052,2052
36.235.119.3,29876,29876
1.175.67.230,10554,10554
1.163.146.143,11300,11300
111.246.60.115,2095,2095
111.243.69.19,12326,12326
36.235.119.3,12326,12326
111.243.101.74,16000,16000
218.166.136.74,10002,10002
36.237.128.221,443,443
122.118.146.192,2095,2095
36.238.204.109,443,443
36.238.204.122,443,443
219.85.92.161,16010,16010
1.164.10.199,17779,17779
59.120.131.2,443,443
211.21.20.90,80,80
218.187.66.254,2087,2087
111.249.228.19,8080,8080
1.169.97.34,27015,27015
36.225.53.100,4443,4443
111.251.64.182,12341,12341
60.249.114.181,10244,10244
1.169.217.238,10443,10443
35.229.136.103,12308,12308
122.116.65.26,17780,17780
61.227.50.153,16102,16102
36.234.129.183,12320,12320
114.46.186.176,16404,16404
108.165.144.42,8443,8443
114.40.174.1,17184,17184
114.42.39.111,20107,20107
36.224.203.236,20107,20107
61.64.177.209,15504,15504
