47.236.121.23,2053,2053,TRUE,SIN,Asia Pacific,Singapore,108,4.03
8.218.3.12,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,47,4.03
47.236.110.238,443,443,TRUE,SIN,Asia Pacific,Singapore,94,4.02
8.218.204.128,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,94,4
8.222.208.38,443,443,TRUE,SIN,Asia Pacific,Singapore,71,4
8.219.106.156,443,443,TRUE,SIN,Asia Pacific,Singapore,75,4
47.243.139.243,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,45,3.99
47.242.171.94,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,61,3.99
8.219.97.50,2087,2087,TRUE,SIN,Asia Pacific,Singapore,67,3.98
47.245.118.70,2096,2096,TRUE,SIN,Asia Pacific,Singapore,53,3.98
47.236.85.11,8443,443,TRUE,SIN,Asia Pacific,Singapore,117,3.98
47.245.105.224,2053,2053,TRUE,SIN,Asia Pacific,Singapore,22,3.97
47.242.157.96,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,3.97
8.217.159.210,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,48,3.96
47.237.95.140,2083,2083,TRUE,SIN,Asia Pacific,Singapore,53,3.94
8.210.203.7,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,44,3.94
47.236.144.48,2083,2083,TRUE,SIN,Asia Pacific,Singapore,85,3.93
47.243.173.187,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,43,3.93
8.218.122.55,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,61,3.92
8.210.34.188,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,111,3.92
8.219.111.175,2096,2096,TRUE,SIN,Asia Pacific,Singapore,49,3.9
47.76.33.40,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,111,3.9
8.219.42.72,443,443,TRUE,SIN,Asia Pacific,Singapore,69,3.9
8.218.3.12,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,76,3.89
47.245.118.70,2053,2053,TRUE,SIN,Asia Pacific,Singapore,73,3.89
8.219.111.175,8443,8443,TRUE,SIN,Asia Pacific,Singapore,74,3.89
47.245.126.151,8443,8443,TRUE,SIN,Asia Pacific,Singapore,17,3.88
47.245.114.163,2083,2083,TRUE,SIN,Asia Pacific,Singapore,61,3.87
47.236.166.131,2053,2053,TRUE,SIN,Asia Pacific,Singapore,129,3.86
47.236.113.184,443,443,TRUE,SIN,Asia Pacific,Singapore,62,3.86
47.242.54.157,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,79,3.86
8.218.222.36,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,64,3.86
47.237.82.15,2096,2096,TRUE,SIN,Asia Pacific,Singapore,96,3.85
8.218.146.204,443,443,TRUE,HKG,Asia Pacific,Hong Kong,61,3.84
47.76.33.40,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,85,3.83
47.236.146.249,2087,2087,TRUE,SIN,Asia Pacific,Singapore,57,3.83
8.217.159.210,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,85,3.83
8.219.106.156,8443,8443,TRUE,SIN,Asia Pacific,Singapore,164,3.82
47.242.252.237,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,88,3.81
8.222.222.64,443,443,TRUE,SIN,Asia Pacific,Singapore,92,3.81
47.236.117.48,2083,2083,TRUE,SIN,Asia Pacific,Singapore,51,3.8
47.76.49.246,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,99,3.79
8.218.143.10,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,41,3.79
8.217.85.14,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,63,3.77
8.222.193.65,2053,2053,TRUE,SIN,Asia Pacific,Singapore,50,3.76
8.217.90.154,443,443,TRUE,HKG,Asia Pacific,Hong Kong,52,3.76
8.219.114.201,2053,2053,TRUE,SIN,Asia Pacific,Singapore,42,3.74
47.237.83.20,2096,2096,TRUE,SIN,Asia Pacific,Singapore,100,3.73
8.219.98.13,8443,8443,TRUE,SIN,Asia Pacific,Singapore,106,3.73
47.242.176.237,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,57,3.73
47.245.126.151,2096,2096,TRUE,SIN,Asia Pacific,Singapore,41,3.72
47.237.81.112,2096,2096,TRUE,SIN,Asia Pacific,Singapore,99,3.72
47.236.170.54,2087,2087,TRUE,SIN,Asia Pacific,Singapore,101,3.72
47.237.95.156,2087,2087,TRUE,SIN,Asia Pacific,Singapore,67,3.72
47.245.105.224,2096,2096,TRUE,SIN,Asia Pacific,Singapore,27,3.7
47.242.36.78,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,70,3.7
47.242.252.237,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,104,3.68
47.245.105.224,2053,2053,TRUE,SIN,Asia Pacific,Singapore,85,3.66
8.219.120.87,8443,8443,TRUE,SIN,Asia Pacific,Singapore,261,3.66
47.242.155.183,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,101,3.65
47.245.102.52,2053,2053,TRUE,SIN,Asia Pacific,Singapore,92,3.64
47.242.157.96,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,65,3.64
47.242.155.183,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,65,3.63
8.219.67.133,2083,2083,TRUE,SIN,Asia Pacific,Singapore,96,3.62
47.243.74.220,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,79,3.62
47.236.83.239,8443,8443,TRUE,SIN,Asia Pacific,Singapore,142,3.6
47.236.171.205,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,3.6
47.236.149.107,8443,8443,TRUE,SIN,Asia Pacific,Singapore,54,3.59
47.236.17.193,2096,2096,TRUE,SIN,Asia Pacific,Singapore,72,3.59
47.242.36.78,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,135,3.59
47.236.167.231,2087,2087,TRUE,SIN,Asia Pacific,Singapore,93,3.59
47.76.49.246,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,96,3.58
47.236.170.54,8443,8443,TRUE,SIN,Asia Pacific,Singapore,137,3.58
8.218.243.95,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,165,3.58
47.245.102.52,2087,2087,TRUE,SIN,Asia Pacific,Singapore,26,3.57
47.236.117.48,2096,2096,TRUE,SIN,Asia Pacific,Singapore,113,3.57
47.237.95.140,2053,2053,TRUE,SIN,Asia Pacific,Singapore,137,3.56
8.219.77.222,2096,2096,TRUE,SIN,Asia Pacific,Singapore,90,3.55
47.243.42.219,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,61,3.55
47.236.121.23,2096,2096,TRUE,SIN,Asia Pacific,Singapore,96,3.55
8.218.207.169,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,99,3.54
47.236.171.205,2053,2053,TRUE,SIN,Asia Pacific,Singapore,93,3.54
